claim_id,ticker,company,sample_role,construct,claim_kind,mechanism,mechanism_definition,has_text_source,has_xbrl_source,integrated_prelim,text_source_ids,xbrl_source_ids,claim_text
C011,NKE,"Nike, Inc.",main_deep_case,revenue,factual,xbrl_only_within_hybrid,"Hybrid prompt was available, but the claim used XBRL facts or paths only.",0,1,0,,F-NKE-0252,"The current refund liability as of 2025-05-31 was $1,277,000,000."
C012,NKE,"Nike, Inc.",main_deep_case,revenue,factual,xbrl_only_within_hybrid,"Hybrid prompt was available, but the claim used XBRL facts or paths only.",0,1,0,,F-NKE-0010,"Accounts Receivable Net as of 2025-05-31 was $4,717,000,000."
C013,NKE,"Nike, Inc.",main_deep_case,revenue,risk_or_assertion_mapping,xbrl_only_within_hybrid,"Hybrid prompt was available, but the claim used XBRL facts or paths only.",0,1,0,,F-NKE-0252; F-NKE-0253,The increase in the current refund liability from $799 million (as of 2024-05-31) to $1.277 billion (as of 2025-05-31) presents a risk cue for the valuation assertion of revenue.
C014,NKE,"Nike, Inc.",main_deep_case,revenue,risk_or_assertion_mapping,text_only_within_hybrid,"Hybrid prompt was available, but the claim used narrative text only.",1,0,0,T-NKE-REVENUE-021,,"The stated risk that failures in providing reliable, secure, and user-friendly digital commerce platforms could result in the loss of digital commerce sales indicates a risk cue for the completeness and occurrence assertions of revenue."
C015,NKE,"Nike, Inc.",main_deep_case,revenue,risk_or_assertion_mapping,text_only_within_hybrid,"Hybrid prompt was available, but the claim used narrative text only.",1,0,0,T-NKE-REVENUE-062; T-NKE-REVENUE-071,,The significant decline in digital sales in North America (19%) and APLA (9%) indicates a risk cue for the valuation and accuracy of revenue within these specific channels.
C026,NKE,"Nike, Inc.",main_deep_case,inventory,factual,text_only_within_hybrid,"Hybrid prompt was available, but the claim used narrative text only.",1,0,0,Text Chunk 3,,"Nike values inventories at the lower of cost and net realizable value, utilizing either an average or a specific identification cost basis."
C027,NKE,"Nike, Inc.",main_deep_case,inventory,factual,integrated_text_xbrl_bridge,Claim uses both text and XBRL evidence with an inferential bridge.,1,1,1,Text Chunk 2,F-NKE-0026; F-NKE-0027,"As of May 31, 2025, the Company's inventory reserve was $233 million, an increase from $155 million as of May 31, 2024."
C028,NKE,"Nike, Inc.",main_deep_case,inventory,risk_or_assertion_mapping,text_only_within_hybrid,"Hybrid prompt was available, but the claim used narrative text only.",1,0,0,Text Chunk 1,,"The use of ongoing estimates for net realizable value (NRV) based on assumptions regarding future demand, market conditions, sales trends, and historical experience creates a risk to the inventory valuation assertion."
C029,NKE,"Nike, Inc.",main_deep_case,inventory,risk_or_assertion_mapping,integrated_text_xbrl_bridge,Claim uses both text and XBRL evidence with an inferential bridge.,1,1,1,Text Chunk 2,F-NKE-0026; F-NKE-0027,The increase in the inventory reserve from $155 million (2024) to $233 million (2025) serves as a risk cue for the adequacy of the valuation reserve.
C030,NKE,"Nike, Inc.",main_deep_case,inventory,risk_or_assertion_mapping,text_only_within_hybrid,"Hybrid prompt was available, but the claim used narrative text only.",1,0,0,Text Chunk 3,,"The practice of shipping products directly from suppliers to customers, where inventory and cost of sales are recognized on a specific identification basis, introduces a risk to the accuracy of inventory valuation and cost allocation."
C042,SBUX,Starbucks Corporation,main_deep_case,revenue,risk_or_assertion_mapping,text_only_within_hybrid,"Hybrid prompt was available, but the claim used narrative text only.",1,0,0,Text Chunk 3,,The recognition of revenue from stored value card breakage is subject to estimation risk.
C043,SBUX,Starbucks Corporation,main_deep_case,revenue,risk_or_assertion_mapping,text_only_within_hybrid,"Hybrid prompt was available, but the claim used narrative text only.",1,0,0,Text Chunk 2,,Revenue recognition for the Nestlé prepaid royalty depends on the assessment of performance obligations.
C044,SBUX,Starbucks Corporation,main_deep_case,revenue,risk_or_assertion_mapping,text_only_within_hybrid,"Hybrid prompt was available, but the claim used narrative text only.",1,0,0,Text Chunk 1,,The multi-channel nature of stored value card activation and redemption creates a risk regarding the accuracy of the transition from deferred revenue to recognized revenue.
C045,SBUX,Starbucks Corporation,main_deep_case,revenue,factual,xbrl_only_within_hybrid,"Hybrid prompt was available, but the claim used XBRL facts or paths only.",0,1,0,,F-SBUX-0085; F-SBUX-0086,"Starbucks Corporation derives revenue from North America and International operations (selling coffee, beverages, food, packaged coffees, single-serve coffee, and merchandise) and Channel Development (selling packaged coffee, tea, foodservice products, ready-to-drink beverages, and receiving royalties from Nestlé)."
C046,SBUX,Starbucks Corporation,main_deep_case,revenue,factual,text_only_within_hybrid,"Hybrid prompt was available, but the claim used narrative text only.",1,0,0,Text Chunk 1,,"Stored value cards can be activated at company-operated stores, most licensed stores, Starbucks.com, via mobile devices, and at certain third-party websites and locations, although they cannot be reloaded at third-party sites."
C057,SBUX,Starbucks Corporation,main_deep_case,inventory,factual,text_only_within_hybrid,"Hybrid prompt was available, but the claim used narrative text only.",1,0,0,T-SBUX-INVENTORY-015,,Inventories are stated at the lower of cost (primarily moving average cost) or net realizable value.
C058,SBUX,Starbucks Corporation,main_deep_case,inventory,factual,integrated_text_xbrl_bridge,Claim uses both text and XBRL evidence with an inferential bridge.,1,1,1,T-SBUX-INVENTORY-015,F-SBUX-0034,"As of September 28, 2025, inventory reserves were $56.6 million."
C059,SBUX,Starbucks Corporation,main_deep_case,inventory,risk_or_assertion_mapping,text_only_within_hybrid,"Hybrid prompt was available, but the claim used narrative text only.",1,0,0,T-SBUX-INVENTORY-015,,"The reliance on ""obsolescence trends"" and ""historical experience"" to determine inventory reserves for obsolete and slow-moving inventory presents a risk to the valuation assertion."
C060,SBUX,Starbucks Corporation,main_deep_case,inventory,risk_or_assertion_mapping,text_only_within_hybrid,"Hybrid prompt was available, but the claim used narrative text only.",1,0,0,T-SBUX-INVENTORY-008,,"The possibility of ""excess inventory"" and ""increased inventory markdowns"" creates a risk that inventory may be overstated relative to its net realizable value."
C061,SBUX,Starbucks Corporation,main_deep_case,inventory,risk_or_assertion_mapping,text_only_within_hybrid,"Hybrid prompt was available, but the claim used narrative text only.",1,0,0,T-SBUX-INVENTORY-015,,"The use of ""estimated shrinkage"" between physical inventory counts introduces a risk to the valuation assertion."
C073,TGT,Target Corporation,main_deep_case,revenue,factual,text_only_within_hybrid,"Hybrid prompt was available, but the claim used narrative text only.",1,0,0,Text Chunk 3,,Revenue for digitally originated sales is recognized upon delivery to the guest or upon guest pickup at the store.
C074,TGT,Target Corporation,main_deep_case,revenue,factual,text_only_within_hybrid,"Hybrid prompt was available, but the claim used narrative text only.",1,0,0,Text Chunk 3,,"As of February 1, 2025, the liability for estimated returns was $172 million."
C075,TGT,Target Corporation,main_deep_case,revenue,risk_or_assertion_mapping,text_only_within_hybrid,"Hybrid prompt was available, but the claim used narrative text only.",1,0,0,Text Chunk 3,,The timing of revenue recognition for digitally originated sales presents a cut-off risk.
C076,TGT,Target Corporation,main_deep_case,revenue,risk_or_assertion_mapping,text_only_within_hybrid,"Hybrid prompt was available, but the claim used narrative text only.",1,0,0,Text Chunk 3,,The estimation of expected returns introduces a risk to the accuracy and valuation of revenue and the associated return liability.
C077,TGT,Target Corporation,main_deep_case,revenue,risk_or_assertion_mapping,text_only_within_hybrid,"Hybrid prompt was available, but the claim used narrative text only.",1,0,0,Text Chunk 2,,The recognition of gift card breakage revenue is subject to estimation risk.
C089,TGT,Target Corporation,main_deep_case,inventory,factual,text_only_within_hybrid,"Hybrid prompt was available, but the claim used narrative text only.",1,0,0,Text Chunk 1,,Target Corporation values its inventory at the lower of LIFO cost or market and utilizes the retail inventory accounting method.
C090,TGT,Target Corporation,main_deep_case,inventory,factual,xbrl_only_within_hybrid,"Hybrid prompt was available, but the claim used XBRL facts or paths only.",0,1,0,,F-TGT-0007,"As of February 1, 2025, Target Corporation's net inventory was $12,740,000,000."
C091,TGT,Target Corporation,main_deep_case,inventory,risk_or_assertion_mapping,text_only_within_hybrid,"Hybrid prompt was available, but the claim used narrative text only.",1,0,0,Text Chunk 1,,The estimation of the inventory shrink reserve presents a valuation risk due to the high sensitivity of the reserve's impact on cost of sales.
C092,TGT,Target Corporation,main_deep_case,inventory,risk_or_assertion_mapping,text_only_within_hybrid,"Hybrid prompt was available, but the claim used narrative text only.",1,0,0,Text Chunk 1,,Inventory valuation is subject to risk regarding the timing and accuracy of markdown adjustments driven by external volatility.
C093,TGT,Target Corporation,main_deep_case,inventory,risk_or_assertion_mapping,text_only_within_hybrid,"Hybrid prompt was available, but the claim used narrative text only.",1,0,0,Text Chunk 3,,The use of the Retail Inventory Method (RIM) introduces a valuation risk centered on the accuracy of the cost-to-retail ratio.
C010,WMT,Walmart Inc.,bounded_extension,revenue,risk_or_assertion_mapping,text_only_within_hybrid,"Hybrid prompt was available, but the claim used narrative text only.",1,0,0,Text Chunk 1,,The recognition of gift card breakage income involves management estimation risk.
C011,WMT,Walmart Inc.,bounded_extension,revenue,risk_or_assertion_mapping,text_only_within_hybrid,"Hybrid prompt was available, but the claim used narrative text only.",1,0,0,Text Chunk 1,,The deferral of revenue for gift card purchases until redemption presents a cut-off risk.
C012,WMT,Walmart Inc.,bounded_extension,revenue,risk_or_assertion_mapping,text_only_within_hybrid,"Hybrid prompt was available, but the claim used narrative text only.",1,0,0,Text Chunk 2,,"The calculation of ""comparable sales"" involves complex inclusions (e.g., omnichannel and advertising net sales) that may impact the Accuracy assertion."
C013,WMT,Walmart Inc.,bounded_extension,revenue,factual,text_only_within_hybrid,"Hybrid prompt was available, but the claim used narrative text only.",1,0,0,Text Chunk 3,,Net sales for the Sam's Club U.S. segment increased by $2.8 billion (3.1%) for fiscal 2026.
C014,WMT,Walmart Inc.,bounded_extension,revenue,factual,text_only_within_hybrid,"Hybrid prompt was available, but the claim used narrative text only.",1,0,0,Text Chunk 3,,Lower fuel prices negatively impacted comparable sales by 1.9% in fiscal 2026.
C026,WMT,Walmart Inc.,bounded_extension,inventory,factual,xbrl_only_within_hybrid,"Hybrid prompt was available, but the claim used XBRL facts or paths only.",0,1,0,,F-WMT-0012,"As of January 31, 2026, the net inventory value for Walmart Inc. was $58,851,000,000."
C027,WMT,Walmart Inc.,bounded_extension,inventory,factual,text_only_within_hybrid,"Hybrid prompt was available, but the claim used narrative text only.",1,0,0,Text Chunk 2,,"Walmart Inc. utilizes various inventory methods depending on store formats and businesses, recording inventories at the lower of cost or market or net realizable value, as appropriate."
C028,WMT,Walmart Inc.,bounded_extension,inventory,risk_or_assertion_mapping,text_only_within_hybrid,"Hybrid prompt was available, but the claim used narrative text only.",1,0,0,Text Chunk 2,,The use of multiple valuation methods (lower of cost or market vs. net realizable value) across different store formats and business segments creates a risk regarding the valuation assertion.
C029,WMT,Walmart Inc.,bounded_extension,inventory,risk_or_assertion_mapping,text_only_within_hybrid,"Hybrid prompt was available, but the claim used narrative text only.",1,0,0,Text Chunk 3,,The reliance on the Retail Inventory Method (RIM) and the immediate recording of permanent markdowns in the Walmart U.S. segment presents a risk to the valuation assertion.
C030,WMT,Walmart Inc.,bounded_extension,inventory,risk_or_assertion_mapping,text_only_within_hybrid,"Hybrid prompt was available, but the claim used narrative text only.",1,0,0,Text Chunk 3,,"The use of the last-in, first-out (LIFO) valuation method for the Walmart U.S. segment is a consideration for the inventory valuation assertion."
C042,HD,"Home Depot, Inc.",bounded_extension,revenue,factual,text_only_within_hybrid,"Hybrid prompt was available, but the claim used narrative text only.",1,0,0,T-HD-REVENUE-056,,"As of February 1, 2026, and February 2, 2025, performance obligations for unredeemed gift cards were $1.1 billion."
C043,HD,"Home Depot, Inc.",bounded_extension,revenue,factual,xbrl_only_within_hybrid,"Hybrid prompt was available, but the claim used XBRL facts or paths only.",0,1,0,,F-HD-0009,"Revenue from contracts with customers (excluding assessed tax) for the period from 2023-01-30 to 2024-01-28 was $152,669,000,000."
C044,HD,"Home Depot, Inc.",bounded_extension,revenue,risk_or_assertion_mapping,text_only_within_hybrid,"Hybrid prompt was available, but the claim used narrative text only.",1,0,0,T-HD-REVENUE-056,,The recognition of gift card breakage income is based on an estimate of the portion of outstanding gift card balances not expected to be redeemed.
C045,HD,"Home Depot, Inc.",bounded_extension,revenue,risk_or_assertion_mapping,integrated_text_xbrl_bridge,Claim uses both text and XBRL evidence with an inferential bridge.,1,1,1,T-HD-REVENUE-056,F-HD-0044,"Revenue for gift cards is recognized upon redemption, which generally occurs within six months of issuance."
C046,HD,"Home Depot, Inc.",bounded_extension,revenue,risk_or_assertion_mapping,text_only_within_hybrid,"Hybrid prompt was available, but the claim used narrative text only.",1,0,0,T-HD-REVENUE-015,,There has been a significant increase in sales initiated online and via mobile applications.
C058,HD,"Home Depot, Inc.",bounded_extension,inventory,factual,integrated_text_xbrl_bridge,Claim uses both text and XBRL evidence with an inferential bridge.,1,1,1,T-HD-INVENTORY-020,F-HD-0004,"Merchandise inventories were $25.8 billion as of February 1, 2026."
C059,HD,"Home Depot, Inc.",bounded_extension,inventory,factual,text_only_within_hybrid,"Hybrid prompt was available, but the claim used narrative text only.",1,0,0,T-HD-INVENTORY-020; T-HD-INVENTORY-028,,"Home Depot utilizes the retail inventory method (RIM) for the majority of its merchandise inventories, while inventories in Canada, Mexico, distribution centers, and SRS distribution operations are recorded using cost methods (primarily moving average and first-in, first-out)."
C060,HD,"Home Depot, Inc.",bounded_extension,inventory,risk_or_assertion_mapping,text_only_within_hybrid,"Hybrid prompt was available, but the claim used narrative text only.",1,0,0,T-HD-INVENTORY-018,,There is a risk regarding the valuation assertion due to inherent uncertainty in the final determination of inventory cost and gross profit when applying the retail inventory method.
C061,HD,"Home Depot, Inc.",bounded_extension,inventory,risk_or_assertion_mapping,text_only_within_hybrid,"Hybrid prompt was available, but the claim used narrative text only.",1,0,0,T-HD-INVENTORY-018,,"The valuation of inventory is subject to estimation risk because the determination of markups and markdowns relies on subjective and variable factors, including anticipated demand, customer preferences, buying trends, age of merchandise, and weather conditions."
C062,HD,"Home Depot, Inc.",bounded_extension,inventory,risk_or_assertion_mapping,integrated_text_xbrl_bridge,Claim uses both text and XBRL evidence with an inferential bridge.,1,1,1,T-HD-INVENTORY-028,F-HD-0169; F-HD-0172,The valuation of inventory acquired through business combinations (specifically SRS and GMS Inc) may require distinct audit consideration as these assets are recorded under different valuation frameworks than the majority of the company's inventory.
C074,CAT,Caterpillar Inc.,bounded_extension,revenue,factual,text_only_within_hybrid,"Hybrid prompt was available, but the claim used narrative text only.",1,0,0,T-CAT-REVENUE_INVENTORY-021,,"Trade receivables from dealers and end users were $9,402 million as of December 31, 2025."
