global_claim_id,variable,Coder 2_code,coder_1_code,ticker,construct,condition,claim_text
EXT-C044,claim_kind_code,factual,risk_assertion,HD,revenue,hybrid,The recognition of gift card breakage income is based on an estimate of the portion of outstanding gift card balances not expected to be redeemed.
EXT-C045,claim_kind_code,factual,risk_assertion,HD,revenue,hybrid,"Revenue for gift cards is recognized upon redemption, which generally occurs within six months of issuance."
MAIN-C043,claim_kind_code,factual,risk_assertion,SBUX,revenue,hybrid,Revenue recognition for the Nestlé prepaid royalty depends on the assessment of performance obligations.
EXT-C044,text_supported_code,1,0.5,HD,revenue,hybrid,The recognition of gift card breakage income is based on an estimate of the portion of outstanding gift card balances not expected to be redeemed.
EXT-C045,text_supported_code,1,0.5,HD,revenue,hybrid,"Revenue for gift cards is recognized upon redemption, which generally occurs within six months of issuance."
MAIN-C043,text_supported_code,1,0.5,SBUX,revenue,hybrid,Revenue recognition for the Nestlé prepaid royalty depends on the assessment of performance obligations.
EXT-C045,graph_valid_code,1,0.5,HD,revenue,hybrid,"Revenue for gift cards is recognized upon redemption, which generally occurs within six months of issuance."
EXT-C031,confidence_code,high,medium,WMT,inventory,llm_only,The provided context is insufficient to identify any audit-relevant risk cues or assertion-mapping considerations for inventory valuation for Walmart Inc. for the specified period.
EXT-C044,confidence_code,high,medium,HD,revenue,hybrid,The recognition of gift card breakage income is based on an estimate of the portion of outstanding gift card balances not expected to be redeemed.
EXT-C045,confidence_code,high,medium,HD,revenue,hybrid,"Revenue for gift cards is recognized upon redemption, which generally occurs within six months of issuance."
EXT-C047,confidence_code,high,medium,HD,revenue,llm_only,"The provided context is insufficient to identify any audit-relevant risk cues or assertion-mapping considerations for revenue recognition for Home Depot, Inc. for the specified period."
EXT-C063,confidence_code,high,medium,HD,inventory,llm_only,"The provided context is insufficient to identify any audit-relevant risk cues or assertion-mapping considerations for inventory valuation for Home Depot, Inc. for the specified period."
EXT-C079,confidence_code,high,medium,CAT,revenue,llm_only,The provided context is insufficient to identify any audit-relevant risk cues or assertion-mapping considerations for revenue recognition for Caterpillar Inc. for the specified period.
EXT-C094,confidence_code,high,medium,CAT,inventory,llm_only,The provided context is insufficient to identify any audit-relevant risk cues or assertion-mapping considerations for inventory valuation for Caterpillar Inc. for the specified period.
EXT-C126,confidence_code,high,medium,PFE,inventory,llm_only,The provided context is insufficient to identify any audit-relevant risk cues or assertion-mapping considerations for inventory valuation for Pfizer Inc. for the specified period.
EXT-C155,confidence_code,high,medium,MSFT,inventory,llm_only,The provided context is insufficient to identify any audit-relevant risk cues or assertion-mapping considerations for inventory valuation for Microsoft Corp. for the specified period.
EXT-C171,confidence_code,high,medium,CROX,revenue,llm_only,"The provided context is insufficient to identify any audit-relevant risk cues or assertion-mapping considerations for revenue recognition for Crocs, Inc. for the fiscal year ended 2025-12-31."
EXT-C187,confidence_code,high,medium,CROX,inventory,llm_only,"The provided context is insufficient to identify any audit-relevant risk cues or assertion-mapping considerations for inventory valuation for Crocs, Inc. for the specified period."
MAIN-C031,confidence_code,high,medium,NKE,inventory,llm_only,"The provided context is insufficient to identify any audit-relevant risk cues or assertion-mapping considerations for Nike, Inc.'s inventory valuation for the fiscal year ended 2025-05-31."
MAIN-C043,confidence_code,high,medium,SBUX,revenue,hybrid,Revenue recognition for the Nestlé prepaid royalty depends on the assessment of performance obligations.
MAIN-C062,confidence_code,high,medium,SBUX,inventory,llm_only,The provided context is insufficient to identify any audit-relevant risk cues or assertion-mapping considerations for inventory valuation for Starbucks Corporation.
MAIN-C094,confidence_code,high,medium,TGT,inventory,llm_only,The provided context is insufficient to identify any audit-relevant risk cues or assertion-mapping considerations for inventory valuation for Target Corporation.
