run_id,ticker,company,construct,condition,condition_label,prompt_file,context_file,context_word_count,output_text_file,raw_json_file,status,provider,model,base_url,temperature,access_time_utc,output_chars,error
RUN-001,NKE,"Nike, Inc.",revenue,text,Text-based contextual retrieval,data/processed/prompts/nke_revenue_text_prompt.txt,data/processed/retrieval_contexts/nke_revenue_text_context.txt,537,data/processed/llm_outputs/text/nke_revenue_text_output.txt,data/processed/llm_outputs/raw_json/nke_revenue_text_raw.json,dry_run,ollama,llama4:latest,http://localhost:11434,0.0,2026-05-29T02:25:51.418781+00:00,0,
RUN-002,NKE,"Nike, Inc.",revenue,xbrl,XBRL-based relational retrieval,data/processed/prompts/nke_revenue_xbrl_prompt.txt,data/processed/retrieval_contexts/nke_revenue_xbrl_context.txt,624,data/processed/llm_outputs/text/nke_revenue_xbrl_output.txt,data/processed/llm_outputs/raw_json/nke_revenue_xbrl_raw.json,dry_run,ollama,llama4:latest,http://localhost:11434,0.0,2026-05-29T02:25:51.418781+00:00,0,
RUN-003,NKE,"Nike, Inc.",revenue,hybrid,Hybrid retrieval,data/processed/prompts/nke_revenue_hybrid_prompt.txt,data/processed/retrieval_contexts/nke_revenue_hybrid_context.txt,748,data/processed/llm_outputs/text/nke_revenue_hybrid_output.txt,data/processed/llm_outputs/raw_json/nke_revenue_hybrid_raw.json,dry_run,ollama,llama4:latest,http://localhost:11434,0.0,2026-05-29T02:25:51.418781+00:00,0,
RUN-004,NKE,"Nike, Inc.",revenue,llm_only,LLM-only diagnostic baseline,data/processed/prompts/nke_revenue_llm_only_prompt.txt,data/processed/retrieval_contexts/nke_revenue_llm_only_context.txt,10,data/processed/llm_outputs/text/nke_revenue_llm_only_output.txt,data/processed/llm_outputs/raw_json/nke_revenue_llm_only_raw.json,dry_run,ollama,llama4:latest,http://localhost:11434,0.0,2026-05-29T02:25:51.418781+00:00,0,
RUN-005,NKE,"Nike, Inc.",inventory,text,Text-based contextual retrieval,data/processed/prompts/nke_inventory_text_prompt.txt,data/processed/retrieval_contexts/nke_inventory_text_context.txt,422,data/processed/llm_outputs/text/nke_inventory_text_output.txt,data/processed/llm_outputs/raw_json/nke_inventory_text_raw.json,dry_run,ollama,llama4:latest,http://localhost:11434,0.0,2026-05-29T02:25:51.418781+00:00,0,
RUN-006,NKE,"Nike, Inc.",inventory,xbrl,XBRL-based relational retrieval,data/processed/prompts/nke_inventory_xbrl_prompt.txt,data/processed/retrieval_contexts/nke_inventory_xbrl_context.txt,628,data/processed/llm_outputs/text/nke_inventory_xbrl_output.txt,data/processed/llm_outputs/raw_json/nke_inventory_xbrl_raw.json,dry_run,ollama,llama4:latest,http://localhost:11434,0.0,2026-05-29T02:25:51.418781+00:00,0,
RUN-007,NKE,"Nike, Inc.",inventory,hybrid,Hybrid retrieval,data/processed/prompts/nke_inventory_hybrid_prompt.txt,data/processed/retrieval_contexts/nke_inventory_hybrid_context.txt,715,data/processed/llm_outputs/text/nke_inventory_hybrid_output.txt,data/processed/llm_outputs/raw_json/nke_inventory_hybrid_raw.json,dry_run,ollama,llama4:latest,http://localhost:11434,0.0,2026-05-29T02:25:51.418781+00:00,0,
RUN-008,NKE,"Nike, Inc.",inventory,llm_only,LLM-only diagnostic baseline,data/processed/prompts/nke_inventory_llm_only_prompt.txt,data/processed/retrieval_contexts/nke_inventory_llm_only_context.txt,10,data/processed/llm_outputs/text/nke_inventory_llm_only_output.txt,data/processed/llm_outputs/raw_json/nke_inventory_llm_only_raw.json,dry_run,ollama,llama4:latest,http://localhost:11434,0.0,2026-05-29T02:25:51.418781+00:00,0,
RUN-009,SBUX,Starbucks Corporation,revenue,text,Text-based contextual retrieval,data/processed/prompts/sbux_revenue_text_prompt.txt,data/processed/retrieval_contexts/sbux_revenue_text_context.txt,478,data/processed/llm_outputs/text/sbux_revenue_text_output.txt,data/processed/llm_outputs/raw_json/sbux_revenue_text_raw.json,dry_run,ollama,llama4:latest,http://localhost:11434,0.0,2026-05-29T02:25:51.418781+00:00,0,
RUN-010,SBUX,Starbucks Corporation,revenue,xbrl,XBRL-based relational retrieval,data/processed/prompts/sbux_revenue_xbrl_prompt.txt,data/processed/retrieval_contexts/sbux_revenue_xbrl_context.txt,708,data/processed/llm_outputs/text/sbux_revenue_xbrl_output.txt,data/processed/llm_outputs/raw_json/sbux_revenue_xbrl_raw.json,dry_run,ollama,llama4:latest,http://localhost:11434,0.0,2026-05-29T02:25:51.418781+00:00,0,
RUN-011,SBUX,Starbucks Corporation,revenue,hybrid,Hybrid retrieval,data/processed/prompts/sbux_revenue_hybrid_prompt.txt,data/processed/retrieval_contexts/sbux_revenue_hybrid_context.txt,764,data/processed/llm_outputs/text/sbux_revenue_hybrid_output.txt,data/processed/llm_outputs/raw_json/sbux_revenue_hybrid_raw.json,dry_run,ollama,llama4:latest,http://localhost:11434,0.0,2026-05-29T02:25:51.418781+00:00,0,
RUN-012,SBUX,Starbucks Corporation,revenue,llm_only,LLM-only diagnostic baseline,data/processed/prompts/sbux_revenue_llm_only_prompt.txt,data/processed/retrieval_contexts/sbux_revenue_llm_only_context.txt,10,data/processed/llm_outputs/text/sbux_revenue_llm_only_output.txt,data/processed/llm_outputs/raw_json/sbux_revenue_llm_only_raw.json,dry_run,ollama,llama4:latest,http://localhost:11434,0.0,2026-05-29T02:25:51.418781+00:00,0,
RUN-013,SBUX,Starbucks Corporation,inventory,text,Text-based contextual retrieval,data/processed/prompts/sbux_inventory_text_prompt.txt,data/processed/retrieval_contexts/sbux_inventory_text_context.txt,521,data/processed/llm_outputs/text/sbux_inventory_text_output.txt,data/processed/llm_outputs/raw_json/sbux_inventory_text_raw.json,dry_run,ollama,llama4:latest,http://localhost:11434,0.0,2026-05-29T02:25:51.418781+00:00,0,
RUN-014,SBUX,Starbucks Corporation,inventory,xbrl,XBRL-based relational retrieval,data/processed/prompts/sbux_inventory_xbrl_prompt.txt,data/processed/retrieval_contexts/sbux_inventory_xbrl_context.txt,514,data/processed/llm_outputs/text/sbux_inventory_xbrl_output.txt,data/processed/llm_outputs/raw_json/sbux_inventory_xbrl_raw.json,dry_run,ollama,llama4:latest,http://localhost:11434,0.0,2026-05-29T02:25:51.418781+00:00,0,
RUN-015,SBUX,Starbucks Corporation,inventory,hybrid,Hybrid retrieval,data/processed/prompts/sbux_inventory_hybrid_prompt.txt,data/processed/retrieval_contexts/sbux_inventory_hybrid_context.txt,560,data/processed/llm_outputs/text/sbux_inventory_hybrid_output.txt,data/processed/llm_outputs/raw_json/sbux_inventory_hybrid_raw.json,dry_run,ollama,llama4:latest,http://localhost:11434,0.0,2026-05-29T02:25:51.418781+00:00,0,
RUN-016,SBUX,Starbucks Corporation,inventory,llm_only,LLM-only diagnostic baseline,data/processed/prompts/sbux_inventory_llm_only_prompt.txt,data/processed/retrieval_contexts/sbux_inventory_llm_only_context.txt,10,data/processed/llm_outputs/text/sbux_inventory_llm_only_output.txt,data/processed/llm_outputs/raw_json/sbux_inventory_llm_only_raw.json,dry_run,ollama,llama4:latest,http://localhost:11434,0.0,2026-05-29T02:25:51.418781+00:00,0,
RUN-017,TGT,Target Corporation,revenue,text,Text-based contextual retrieval,data/processed/prompts/tgt_revenue_text_prompt.txt,data/processed/retrieval_contexts/tgt_revenue_text_context.txt,566,data/processed/llm_outputs/text/tgt_revenue_text_output.txt,data/processed/llm_outputs/raw_json/tgt_revenue_text_raw.json,dry_run,ollama,llama4:latest,http://localhost:11434,0.0,2026-05-29T02:25:51.418781+00:00,0,
RUN-018,TGT,Target Corporation,revenue,xbrl,XBRL-based relational retrieval,data/processed/prompts/tgt_revenue_xbrl_prompt.txt,data/processed/retrieval_contexts/tgt_revenue_xbrl_context.txt,577,data/processed/llm_outputs/text/tgt_revenue_xbrl_output.txt,data/processed/llm_outputs/raw_json/tgt_revenue_xbrl_raw.json,dry_run,ollama,llama4:latest,http://localhost:11434,0.0,2026-05-29T02:25:51.418781+00:00,0,
RUN-019,TGT,Target Corporation,revenue,hybrid,Hybrid retrieval,data/processed/prompts/tgt_revenue_hybrid_prompt.txt,data/processed/retrieval_contexts/tgt_revenue_hybrid_context.txt,761,data/processed/llm_outputs/text/tgt_revenue_hybrid_output.txt,data/processed/llm_outputs/raw_json/tgt_revenue_hybrid_raw.json,dry_run,ollama,llama4:latest,http://localhost:11434,0.0,2026-05-29T02:25:51.418781+00:00,0,
RUN-020,TGT,Target Corporation,revenue,llm_only,LLM-only diagnostic baseline,data/processed/prompts/tgt_revenue_llm_only_prompt.txt,data/processed/retrieval_contexts/tgt_revenue_llm_only_context.txt,10,data/processed/llm_outputs/text/tgt_revenue_llm_only_output.txt,data/processed/llm_outputs/raw_json/tgt_revenue_llm_only_raw.json,dry_run,ollama,llama4:latest,http://localhost:11434,0.0,2026-05-29T02:25:51.418781+00:00,0,
RUN-021,TGT,Target Corporation,inventory,text,Text-based contextual retrieval,data/processed/prompts/tgt_inventory_text_prompt.txt,data/processed/retrieval_contexts/tgt_inventory_text_context.txt,786,data/processed/llm_outputs/text/tgt_inventory_text_output.txt,data/processed/llm_outputs/raw_json/tgt_inventory_text_raw.json,dry_run,ollama,llama4:latest,http://localhost:11434,0.0,2026-05-29T02:25:51.418781+00:00,0,
RUN-022,TGT,Target Corporation,inventory,xbrl,XBRL-based relational retrieval,data/processed/prompts/tgt_inventory_xbrl_prompt.txt,data/processed/retrieval_contexts/tgt_inventory_xbrl_context.txt,556,data/processed/llm_outputs/text/tgt_inventory_xbrl_output.txt,data/processed/llm_outputs/raw_json/tgt_inventory_xbrl_raw.json,dry_run,ollama,llama4:latest,http://localhost:11434,0.0,2026-05-29T02:25:51.418781+00:00,0,
RUN-023,TGT,Target Corporation,inventory,hybrid,Hybrid retrieval,data/processed/prompts/tgt_inventory_hybrid_prompt.txt,data/processed/retrieval_contexts/tgt_inventory_hybrid_context.txt,742,data/processed/llm_outputs/text/tgt_inventory_hybrid_output.txt,data/processed/llm_outputs/raw_json/tgt_inventory_hybrid_raw.json,dry_run,ollama,llama4:latest,http://localhost:11434,0.0,2026-05-29T02:25:51.418781+00:00,0,
RUN-024,TGT,Target Corporation,inventory,llm_only,LLM-only diagnostic baseline,data/processed/prompts/tgt_inventory_llm_only_prompt.txt,data/processed/retrieval_contexts/tgt_inventory_llm_only_context.txt,10,data/processed/llm_outputs/text/tgt_inventory_llm_only_output.txt,data/processed/llm_outputs/raw_json/tgt_inventory_llm_only_raw.json,dry_run,ollama,llama4:latest,http://localhost:11434,0.0,2026-05-29T02:25:51.418781+00:00,0,
