ticker,company,sample_role,construct,expected_family_count,covered_family_count,fact_family_count,path_family_count,covered_families,missing_families,coverage_status,diagnostic_boundary
CAT,Caterpillar Inc.,bounded_extension,inventory,5,4,4,3,cost_flow_or_cogs; inventory_balance; inventory_components; valuation_reserve_or_obsolescence,inventory_movements,partial_family_coverage,"Coverage indicates whether retrieved XBRL facts/paths instantiate the ex ante construct family; absence is a retrieval-design diagnostic, not evidence that the assertion is misstated."
CAT,Caterpillar Inc.,bounded_extension,revenue,5,4,3,4,contract_liability_or_deferred_revenue; disaggregation_or_customer_dimension; receivables_or_collectibility; revenue_or_sales_amount,refunds_returns_or_variable_consideration,partial_family_coverage,"Coverage indicates whether retrieved XBRL facts/paths instantiate the ex ante construct family; absence is a retrieval-design diagnostic, not evidence that the assertion is misstated."
CROX,"Crocs, Inc.",bounded_extension,inventory,5,4,4,4,cost_flow_or_cogs; inventory_balance; inventory_movements; valuation_reserve_or_obsolescence,inventory_components,partial_family_coverage,"Coverage indicates whether retrieved XBRL facts/paths instantiate the ex ante construct family; absence is a retrieval-design diagnostic, not evidence that the assertion is misstated."
CROX,"Crocs, Inc.",bounded_extension,revenue,5,5,5,3,contract_liability_or_deferred_revenue; disaggregation_or_customer_dimension; receivables_or_collectibility; refunds_returns_or_variable_consideration; revenue_or_sales_amount,,complete_family_coverage,"Coverage indicates whether retrieved XBRL facts/paths instantiate the ex ante construct family; absence is a retrieval-design diagnostic, not evidence that the assertion is misstated."
HD,"Home Depot, Inc.",bounded_extension,inventory,5,2,2,2,cost_flow_or_cogs; inventory_balance,inventory_components; inventory_movements; valuation_reserve_or_obsolescence,partial_family_coverage,"Coverage indicates whether retrieved XBRL facts/paths instantiate the ex ante construct family; absence is a retrieval-design diagnostic, not evidence that the assertion is misstated."
HD,"Home Depot, Inc.",bounded_extension,revenue,5,4,4,2,contract_liability_or_deferred_revenue; disaggregation_or_customer_dimension; receivables_or_collectibility; revenue_or_sales_amount,refunds_returns_or_variable_consideration,partial_family_coverage,"Coverage indicates whether retrieved XBRL facts/paths instantiate the ex ante construct family; absence is a retrieval-design diagnostic, not evidence that the assertion is misstated."
MSFT,Microsoft Corp.,bounded_extension,inventory,5,3,3,0,cost_flow_or_cogs; inventory_balance; inventory_movements,inventory_components; valuation_reserve_or_obsolescence,partial_family_coverage,"Coverage indicates whether retrieved XBRL facts/paths instantiate the ex ante construct family; absence is a retrieval-design diagnostic, not evidence that the assertion is misstated."
MSFT,Microsoft Corp.,bounded_extension,revenue,5,3,3,0,contract_liability_or_deferred_revenue; disaggregation_or_customer_dimension; revenue_or_sales_amount,receivables_or_collectibility; refunds_returns_or_variable_consideration,partial_family_coverage,"Coverage indicates whether retrieved XBRL facts/paths instantiate the ex ante construct family; absence is a retrieval-design diagnostic, not evidence that the assertion is misstated."
NKE,"Nike, Inc.",main_deep_case,inventory,5,5,5,5,cost_flow_or_cogs; inventory_balance; inventory_components; inventory_movements; valuation_reserve_or_obsolescence,,complete_family_coverage,"Coverage indicates whether retrieved XBRL facts/paths instantiate the ex ante construct family; absence is a retrieval-design diagnostic, not evidence that the assertion is misstated."
NKE,"Nike, Inc.",main_deep_case,revenue,5,4,4,3,disaggregation_or_customer_dimension; receivables_or_collectibility; refunds_returns_or_variable_consideration; revenue_or_sales_amount,contract_liability_or_deferred_revenue,partial_family_coverage,"Coverage indicates whether retrieved XBRL facts/paths instantiate the ex ante construct family; absence is a retrieval-design diagnostic, not evidence that the assertion is misstated."
PFE,Pfizer Inc.,bounded_extension,inventory,5,4,3,4,cost_flow_or_cogs; inventory_balance; inventory_components; valuation_reserve_or_obsolescence,inventory_movements,partial_family_coverage,"Coverage indicates whether retrieved XBRL facts/paths instantiate the ex ante construct family; absence is a retrieval-design diagnostic, not evidence that the assertion is misstated."
PFE,Pfizer Inc.,bounded_extension,revenue,5,2,2,2,disaggregation_or_customer_dimension; revenue_or_sales_amount,contract_liability_or_deferred_revenue; receivables_or_collectibility; refunds_returns_or_variable_consideration,partial_family_coverage,"Coverage indicates whether retrieved XBRL facts/paths instantiate the ex ante construct family; absence is a retrieval-design diagnostic, not evidence that the assertion is misstated."
SBUX,Starbucks Corporation,main_deep_case,inventory,5,3,3,3,inventory_balance; inventory_components; valuation_reserve_or_obsolescence,cost_flow_or_cogs; inventory_movements,partial_family_coverage,"Coverage indicates whether retrieved XBRL facts/paths instantiate the ex ante construct family; absence is a retrieval-design diagnostic, not evidence that the assertion is misstated."
SBUX,Starbucks Corporation,main_deep_case,revenue,5,3,3,3,contract_liability_or_deferred_revenue; disaggregation_or_customer_dimension; revenue_or_sales_amount,receivables_or_collectibility; refunds_returns_or_variable_consideration,partial_family_coverage,"Coverage indicates whether retrieved XBRL facts/paths instantiate the ex ante construct family; absence is a retrieval-design diagnostic, not evidence that the assertion is misstated."
TGT,Target Corporation,main_deep_case,inventory,5,4,4,4,cost_flow_or_cogs; inventory_balance; inventory_movements; valuation_reserve_or_obsolescence,inventory_components,partial_family_coverage,"Coverage indicates whether retrieved XBRL facts/paths instantiate the ex ante construct family; absence is a retrieval-design diagnostic, not evidence that the assertion is misstated."
