ticker,company,sample_role,construct,condition,condition_label,context_file,prompt_file,context_word_count
NKE,"Nike, Inc.",main_deep_case,revenue,text,Text-based contextual retrieval,data/processed/retrieval_contexts/nke_revenue_text_context.txt,data/processed/prompts/nke_revenue_text_prompt.txt,537
NKE,"Nike, Inc.",main_deep_case,revenue,xbrl,XBRL-based relational retrieval,data/processed/retrieval_contexts/nke_revenue_xbrl_context.txt,data/processed/prompts/nke_revenue_xbrl_prompt.txt,624
NKE,"Nike, Inc.",main_deep_case,revenue,hybrid,Hybrid retrieval,data/processed/retrieval_contexts/nke_revenue_hybrid_context.txt,data/processed/prompts/nke_revenue_hybrid_prompt.txt,748
NKE,"Nike, Inc.",main_deep_case,revenue,llm_only,LLM-only diagnostic baseline,data/processed/retrieval_contexts/nke_revenue_llm_only_context.txt,data/processed/prompts/nke_revenue_llm_only_prompt.txt,10
NKE,"Nike, Inc.",main_deep_case,inventory,text,Text-based contextual retrieval,data/processed/retrieval_contexts/nke_inventory_text_context.txt,data/processed/prompts/nke_inventory_text_prompt.txt,422
NKE,"Nike, Inc.",main_deep_case,inventory,xbrl,XBRL-based relational retrieval,data/processed/retrieval_contexts/nke_inventory_xbrl_context.txt,data/processed/prompts/nke_inventory_xbrl_prompt.txt,628
NKE,"Nike, Inc.",main_deep_case,inventory,hybrid,Hybrid retrieval,data/processed/retrieval_contexts/nke_inventory_hybrid_context.txt,data/processed/prompts/nke_inventory_hybrid_prompt.txt,715
NKE,"Nike, Inc.",main_deep_case,inventory,llm_only,LLM-only diagnostic baseline,data/processed/retrieval_contexts/nke_inventory_llm_only_context.txt,data/processed/prompts/nke_inventory_llm_only_prompt.txt,10
SBUX,Starbucks Corporation,main_deep_case,revenue,text,Text-based contextual retrieval,data/processed/retrieval_contexts/sbux_revenue_text_context.txt,data/processed/prompts/sbux_revenue_text_prompt.txt,478
SBUX,Starbucks Corporation,main_deep_case,revenue,xbrl,XBRL-based relational retrieval,data/processed/retrieval_contexts/sbux_revenue_xbrl_context.txt,data/processed/prompts/sbux_revenue_xbrl_prompt.txt,708
SBUX,Starbucks Corporation,main_deep_case,revenue,hybrid,Hybrid retrieval,data/processed/retrieval_contexts/sbux_revenue_hybrid_context.txt,data/processed/prompts/sbux_revenue_hybrid_prompt.txt,764
SBUX,Starbucks Corporation,main_deep_case,revenue,llm_only,LLM-only diagnostic baseline,data/processed/retrieval_contexts/sbux_revenue_llm_only_context.txt,data/processed/prompts/sbux_revenue_llm_only_prompt.txt,10
SBUX,Starbucks Corporation,main_deep_case,inventory,text,Text-based contextual retrieval,data/processed/retrieval_contexts/sbux_inventory_text_context.txt,data/processed/prompts/sbux_inventory_text_prompt.txt,521
SBUX,Starbucks Corporation,main_deep_case,inventory,xbrl,XBRL-based relational retrieval,data/processed/retrieval_contexts/sbux_inventory_xbrl_context.txt,data/processed/prompts/sbux_inventory_xbrl_prompt.txt,514
SBUX,Starbucks Corporation,main_deep_case,inventory,hybrid,Hybrid retrieval,data/processed/retrieval_contexts/sbux_inventory_hybrid_context.txt,data/processed/prompts/sbux_inventory_hybrid_prompt.txt,560
SBUX,Starbucks Corporation,main_deep_case,inventory,llm_only,LLM-only diagnostic baseline,data/processed/retrieval_contexts/sbux_inventory_llm_only_context.txt,data/processed/prompts/sbux_inventory_llm_only_prompt.txt,10
TGT,Target Corporation,main_deep_case,revenue,text,Text-based contextual retrieval,data/processed/retrieval_contexts/tgt_revenue_text_context.txt,data/processed/prompts/tgt_revenue_text_prompt.txt,566
TGT,Target Corporation,main_deep_case,revenue,xbrl,XBRL-based relational retrieval,data/processed/retrieval_contexts/tgt_revenue_xbrl_context.txt,data/processed/prompts/tgt_revenue_xbrl_prompt.txt,577
TGT,Target Corporation,main_deep_case,revenue,hybrid,Hybrid retrieval,data/processed/retrieval_contexts/tgt_revenue_hybrid_context.txt,data/processed/prompts/tgt_revenue_hybrid_prompt.txt,761
