failure_mode,claim_id,ticker,construct,condition,claim_text,support_used,text_source_ids,xbrl_source_ids,preliminary_interpretation,manual_review_required
integration failure,C010,WMT,revenue,hybrid,The recognition of gift card breakage income involves management estimation risk.,"Text Chunk 1 (""Management estimates unredeemed balances and recognizes gift card breakage income for these amounts... over the expected redemption period."")",Text Chunk 1,,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C011,WMT,revenue,hybrid,The deferral of revenue for gift card purchases until redemption presents a cut-off risk.,"Text Chunk 1 (""Customer purchases of gift cards are not recognized as sales until the card is redeemed... thus a liability for deferred gift card revenue is recorded within accrued liabilities"")",Text Chunk 1,,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C012,WMT,revenue,hybrid,"The calculation of ""comparable sales"" involves complex inclusions (e.g., omnichannel and advertising net sales) that may impact the Accuracy assertion.","Text Chunk 2 (""We measure the eCommerce sales impact by including all sales initiated digitally, including omnichannel transactions... as well as certain other business offerings... such as our advertising net sales."")",Text Chunk 2,,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C013,WMT,revenue,hybrid,Net sales for the Sam's Club U.S. segment increased by $2.8 billion (3.1%) for fiscal 2026.,Text Chunk 3,Text Chunk 3,,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C014,WMT,revenue,hybrid,Lower fuel prices negatively impacted comparable sales by 1.9% in fiscal 2026.,Text Chunk 3,Text Chunk 3,,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C026,WMT,inventory,hybrid,"As of January 31, 2026, the net inventory value for Walmart Inc. was $58,851,000,000.",F-WMT-0012,,F-WMT-0012,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C027,WMT,inventory,hybrid,"Walmart Inc. utilizes various inventory methods depending on store formats and businesses, recording inventories at the lower of cost or market or net realizable value, as appropriate.",Text Chunk 2,Text Chunk 2,,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C028,WMT,inventory,hybrid,The use of multiple valuation methods (lower of cost or market vs. net realizable value) across different store formats and business segments creates a risk regarding the valuation assertion.,Text Chunk 2,Text Chunk 2,,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C029,WMT,inventory,hybrid,The reliance on the Retail Inventory Method (RIM) and the immediate recording of permanent markdowns in the Walmart U.S. segment presents a risk to the valuation assertion.,Text Chunk 3,Text Chunk 3,,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C030,WMT,inventory,hybrid,"The use of the last-in, first-out (LIFO) valuation method for the Walmart U.S. segment is a consideration for the inventory valuation assertion.",Text Chunk 3,Text Chunk 3,,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C042,HD,revenue,hybrid,"As of February 1, 2026, and February 2, 2025, performance obligations for unredeemed gift cards were $1.1 billion.",T-HD-REVENUE-056,T-HD-REVENUE-056,,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C043,HD,revenue,hybrid,"Revenue from contracts with customers (excluding assessed tax) for the period from 2023-01-30 to 2024-01-28 was $152,669,000,000.",F-HD-0009,,F-HD-0009,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C044,HD,revenue,hybrid,The recognition of gift card breakage income is based on an estimate of the portion of outstanding gift card balances not expected to be redeemed.,T-HD-REVENUE-056,T-HD-REVENUE-056,,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C046,HD,revenue,hybrid,There has been a significant increase in sales initiated online and via mobile applications.,T-HD-REVENUE-015,T-HD-REVENUE-015,,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C059,HD,inventory,hybrid,"Home Depot utilizes the retail inventory method (RIM) for the majority of its merchandise inventories, while inventories in Canada, Mexico, distribution centers, and SRS distribution operations are recorded using cost methods (primarily moving average and first-in, first-out).","T-HD-INVENTORY-028, T-HD-INVENTORY-020",T-HD-INVENTORY-020; T-HD-INVENTORY-028,,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C060,HD,inventory,hybrid,There is a risk regarding the valuation assertion due to inherent uncertainty in the final determination of inventory cost and gross profit when applying the retail inventory method.,T-HD-INVENTORY-018,T-HD-INVENTORY-018,,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C061,HD,inventory,hybrid,"The valuation of inventory is subject to estimation risk because the determination of markups and markdowns relies on subjective and variable factors, including anticipated demand, customer preferences, buying trends, age of merchandise, and weather conditions.",T-HD-INVENTORY-018,T-HD-INVENTORY-018,,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C074,CAT,revenue,hybrid,"Trade receivables from dealers and end users were $9,402 million as of December 31, 2025.",T-CAT-REVENUE_INVENTORY-021,T-CAT-REVENUE_INVENTORY-021,,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C075,CAT,revenue,hybrid,"For the period from January 1, 2025, to December 31, 2025, the company recorded a Contract With Customer Liability Cumulative Catch-Up Adjustment to Revenue Change in Estimate of Transaction Price of -$497 million.",F-CAT-0052,,F-CAT-0052,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C076,CAT,revenue,hybrid,The recording of a significant negative cumulative catch-up adjustment to revenue due to changes in transaction price estimates suggests a risk related to the Accuracy assertion of revenue recognition.,F-CAT-0052,,F-CAT-0052,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C077,CAT,revenue,hybrid,"The anticipation of sales growth driven by ""changes in dealer inventories"" and ""seasonal dealer inventory build"" suggests a risk related to the Occurrence assertion of revenue.",T-CAT-REVENUE_INVENTORY-006,T-CAT-REVENUE_INVENTORY-006,,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C078,CAT,revenue,hybrid,"As of December 31, 2025, the Contract With Customer Liability was $4,678 million.",F-CAT-0062,,F-CAT-0062,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C089,CAT,inventory,hybrid,"Caterpillar Inc. values inventories at the lower of cost or net realizable value, primarily using the last-in, first-out (LIFO) method.",T-CAT-INVENTORY-016,T-CAT-INVENTORY-016,,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C090,CAT,inventory,hybrid,"As of December 31, 2025, the Inventory LIFO Reserve was $4,305,000,000.",F-CAT-0048,,F-CAT-0048,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C092,CAT,inventory,hybrid,The occurrence of inventory write-downs and LIFO inventory decrement benefits associated with restructuring and closed facilities indicates a risk to the valuation assertion.,"T-CAT-INVENTORY-008, T-CAT-INVENTORY-023",T-CAT-INVENTORY-008; T-CAT-INVENTORY-023,,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C093,CAT,inventory,hybrid,"As of December 31, 2025, Inventory Finished Goods Net of Reserves was $8,725,000,000.",F-CAT-0801,,F-CAT-0801,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C105,PFE,revenue,hybrid,"As of December 31, 2025, deferred revenues for Paxlovid and Comirnaty totaled $1.5 billion, comprising $689 million in current liabilities and $826 million in noncurrent liabilities.",T-PFE-REVENUE-141,T-PFE-REVENUE-141,,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
