failure_mode,claim_id,ticker,construct,condition,claim_text,support_used,text_source_ids,xbrl_source_ids,preliminary_interpretation,manual_review_required
integration failure,C011,NKE,revenue,hybrid,"The current refund liability as of 2025-05-31 was $1,277,000,000.",F-NKE-0252,,F-NKE-0252,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C012,NKE,revenue,hybrid,"Accounts Receivable Net as of 2025-05-31 was $4,717,000,000.",F-NKE-0010,,F-NKE-0010,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C013,NKE,revenue,hybrid,The increase in the current refund liability from $799 million (as of 2024-05-31) to $1.277 billion (as of 2025-05-31) presents a risk cue for the valuation assertion of revenue.,"F-NKE-0253, F-NKE-0252",,F-NKE-0252; F-NKE-0253,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C014,NKE,revenue,hybrid,"The stated risk that failures in providing reliable, secure, and user-friendly digital commerce platforms could result in the loss of digital commerce sales indicates a risk cue for the completeness and occurrence assertions of revenue.",T-NKE-REVENUE-021,T-NKE-REVENUE-021,,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C015,NKE,revenue,hybrid,The significant decline in digital sales in North America (19%) and APLA (9%) indicates a risk cue for the valuation and accuracy of revenue within these specific channels.,"T-NKE-REVENUE-062, T-NKE-REVENUE-071",T-NKE-REVENUE-062; T-NKE-REVENUE-071,,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C026,NKE,inventory,hybrid,"Nike values inventories at the lower of cost and net realizable value, utilizing either an average or a specific identification cost basis.",Text Chunk 3,Text Chunk 3,,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C028,NKE,inventory,hybrid,"The use of ongoing estimates for net realizable value (NRV) based on assumptions regarding future demand, market conditions, sales trends, and historical experience creates a risk to the inventory valuation assertion.",Text Chunk 1,Text Chunk 1,,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C030,NKE,inventory,hybrid,"The practice of shipping products directly from suppliers to customers, where inventory and cost of sales are recognized on a specific identification basis, introduces a risk to the accuracy of inventory valuation and cost allocation.",Text Chunk 3,Text Chunk 3,,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C042,SBUX,revenue,hybrid,The recognition of revenue from stored value card breakage is subject to estimation risk.,Text Chunk 3,Text Chunk 3,,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
integration failure,C043,SBUX,revenue,hybrid,Revenue recognition for the Nestlé prepaid royalty depends on the assessment of performance obligations.,Text Chunk 2,Text Chunk 2,,"Hybrid output uses only one evidence layer for this claim, so it may be useful but does not demonstrate narrative-XBRL integration.",1
