global_claim_id,ticker,company,sample_role,construct,condition,claim_text,text_source_ids,xbrl_source_ids,coder_id,claim_segmentation_agreement,claim_kind_code,evidence_use_type_code,text_supported_code,graph_valid_code,integrated_code,audit_boundary_note,confidence_code,coder_notes
MAIN-C011,NKE,"Nike, Inc.",main_deep_case,revenue,hybrid,"The current refund liability as of 2025-05-31 was $1,277,000,000.",,F-NKE-0252,Coder 2,1,factual,xbrl_only,NA,1,0,,high,
MAIN-C012,NKE,"Nike, Inc.",main_deep_case,revenue,hybrid,"Accounts Receivable Net as of 2025-05-31 was $4,717,000,000.",,F-NKE-0010,Coder 2,1,factual,xbrl_only,NA,1,0,,high,
MAIN-C013,NKE,"Nike, Inc.",main_deep_case,revenue,hybrid,The increase in the current refund liability from $799 million (as of 2024-05-31) to $1.277 billion (as of 2025-05-31) presents a risk cue for the valuation assertion of revenue.,,F-NKE-0252; F-NKE-0253,Coder 2,1,risk_assertion,xbrl_only,NA,0.5,0,"XBRL facts support the numeric premise, but the audit-risk/assertion inference requires audit judgment beyond management-reported data.",medium,Partial support reflects a supported premise plus an audit inference.
MAIN-C014,NKE,"Nike, Inc.",main_deep_case,revenue,hybrid,"The stated risk that failures in providing reliable, secure, and user-friendly digital commerce platforms could result in the loss of digital commerce sales indicates a risk cue for the completeness and occurrence assertions of revenue.",T-NKE-REVENUE-021,,Coder 2,1,risk_assertion,text_only,0.5,NA,0,"Text supports the disclosed premise, but the audit-risk/assertion inference extends beyond the provided filing context.",medium,Partial support reflects a supported premise plus an audit inference.
MAIN-C015,NKE,"Nike, Inc.",main_deep_case,revenue,hybrid,The significant decline in digital sales in North America (19%) and APLA (9%) indicates a risk cue for the valuation and accuracy of revenue within these specific channels.,T-NKE-REVENUE-062; T-NKE-REVENUE-071,,Coder 2,1,risk_assertion,text_only,0.5,NA,0,"Text supports the disclosed premise, but the audit-risk/assertion inference extends beyond the provided filing context.",medium,Partial support reflects a supported premise plus an audit inference.
MAIN-C026,NKE,"Nike, Inc.",main_deep_case,inventory,hybrid,"Nike values inventories at the lower of cost and net realizable value, utilizing either an average or a specific identification cost basis.",Text Chunk 3,,Coder 2,1,factual,text_only,1,NA,0,,high,
MAIN-C027,NKE,"Nike, Inc.",main_deep_case,inventory,hybrid,"As of May 31, 2025, the Company's inventory reserve was $233 million, an increase from $155 million as of May 31, 2024.",Text Chunk 2,F-NKE-0026; F-NKE-0027,Coder 2,1,factual,text_xbrl_integrated,1,1,1,,high,Narrative and structured evidence jointly support the coded claim.
MAIN-C028,NKE,"Nike, Inc.",main_deep_case,inventory,hybrid,"The use of ongoing estimates for net realizable value (NRV) based on assumptions regarding future demand, market conditions, sales trends, and historical experience creates a risk to the inventory valuation assertion.",Text Chunk 1,,Coder 2,1,risk_assertion,text_only,0.5,NA,0,"Text supports the disclosed premise, but the audit-risk/assertion inference extends beyond the provided filing context.",medium,Partial support reflects a supported premise plus an audit inference.
MAIN-C029,NKE,"Nike, Inc.",main_deep_case,inventory,hybrid,The increase in the inventory reserve from $155 million (2024) to $233 million (2025) serves as a risk cue for the adequacy of the valuation reserve.,Text Chunk 2,F-NKE-0026; F-NKE-0027,Coder 2,1,risk_assertion,text_xbrl_integrated,0.5,0.5,1,"Text and XBRL support the premise, but the audit-risk/assertion implication requires additional audit evidence.",medium,Partial support reflects a supported premise plus an audit inference.
MAIN-C030,NKE,"Nike, Inc.",main_deep_case,inventory,hybrid,"The practice of shipping products directly from suppliers to customers, where inventory and cost of sales are recognized on a specific identification basis, introduces a risk to the accuracy of inventory valuation and cost allocation.",Text Chunk 3,,Coder 2,1,risk_assertion,text_only,0.5,NA,0,"Text supports the disclosed premise, but the audit-risk/assertion inference extends beyond the provided filing context.",medium,Partial support reflects a supported premise plus an audit inference.
MAIN-C042,SBUX,Starbucks Corporation,main_deep_case,revenue,hybrid,The recognition of revenue from stored value card breakage is subject to estimation risk.,Text Chunk 3,,Coder 2,1,risk_assertion,text_only,0.5,NA,0,"Text supports the disclosed premise, but the audit-risk/assertion inference extends beyond the provided filing context.",medium,Partial support reflects a supported premise plus an audit inference.
MAIN-C043,SBUX,Starbucks Corporation,main_deep_case,revenue,hybrid,Revenue recognition for the Nestlé prepaid royalty depends on the assessment of performance obligations.,Text Chunk 2,,Coder 2,1,factual,text_only,1,NA,0,,high,
MAIN-C044,SBUX,Starbucks Corporation,main_deep_case,revenue,hybrid,The multi-channel nature of stored value card activation and redemption creates a risk regarding the accuracy of the transition from deferred revenue to recognized revenue.,Text Chunk 1,,Coder 2,1,risk_assertion,text_only,0.5,NA,0,"Text supports the disclosed premise, but the audit-risk/assertion inference extends beyond the provided filing context.",medium,Partial support reflects a supported premise plus an audit inference.
MAIN-C045,SBUX,Starbucks Corporation,main_deep_case,revenue,hybrid,"Starbucks Corporation derives revenue from North America and International operations (selling coffee, beverages, food, packaged coffees, single-serve coffee, and merchandise) and Channel Development (selling packaged coffee, tea, foodservice products, ready-to-drink beverages, and receiving royalties from Nestlé).",,F-SBUX-0085; F-SBUX-0086,Coder 2,1,factual,xbrl_only,NA,1,0,,high,
MAIN-C046,SBUX,Starbucks Corporation,main_deep_case,revenue,hybrid,"Stored value cards can be activated at company-operated stores, most licensed stores, Starbucks.com, via mobile devices, and at certain third-party websites and locations, although they cannot be reloaded at third-party sites.",Text Chunk 1,,Coder 2,1,factual,text_only,1,NA,0,,high,
MAIN-C057,SBUX,Starbucks Corporation,main_deep_case,inventory,hybrid,Inventories are stated at the lower of cost (primarily moving average cost) or net realizable value.,T-SBUX-INVENTORY-015,,Coder 2,1,factual,text_only,1,NA,0,,high,
MAIN-C058,SBUX,Starbucks Corporation,main_deep_case,inventory,hybrid,"As of September 28, 2025, inventory reserves were $56.6 million.",T-SBUX-INVENTORY-015,F-SBUX-0034,Coder 2,1,factual,text_xbrl_integrated,1,1,1,,high,Narrative and structured evidence jointly support the coded claim.
MAIN-C059,SBUX,Starbucks Corporation,main_deep_case,inventory,hybrid,"The reliance on ""obsolescence trends"" and ""historical experience"" to determine inventory reserves for obsolete and slow-moving inventory presents a risk to the valuation assertion.",T-SBUX-INVENTORY-015,,Coder 2,1,risk_assertion,text_only,0.5,NA,0,"Text supports the disclosed premise, but the audit-risk/assertion inference extends beyond the provided filing context.",medium,Partial support reflects a supported premise plus an audit inference.
MAIN-C060,SBUX,Starbucks Corporation,main_deep_case,inventory,hybrid,"The possibility of ""excess inventory"" and ""increased inventory markdowns"" creates a risk that inventory may be overstated relative to its net realizable value.",T-SBUX-INVENTORY-008,,Coder 2,1,risk_assertion,text_only,0.5,NA,0,"Text supports the disclosed premise, but the audit-risk/assertion inference extends beyond the provided filing context.",medium,Partial support reflects a supported premise plus an audit inference.
MAIN-C061,SBUX,Starbucks Corporation,main_deep_case,inventory,hybrid,"The use of ""estimated shrinkage"" between physical inventory counts introduces a risk to the valuation assertion.",T-SBUX-INVENTORY-015,,Coder 2,1,risk_assertion,text_only,0.5,NA,0,"Text supports the disclosed premise, but the audit-risk/assertion inference extends beyond the provided filing context.",medium,Partial support reflects a supported premise plus an audit inference.
MAIN-C073,TGT,Target Corporation,main_deep_case,revenue,hybrid,Revenue for digitally originated sales is recognized upon delivery to the guest or upon guest pickup at the store.,Text Chunk 3,,Coder 2,1,factual,text_only,1,NA,0,,high,
MAIN-C074,TGT,Target Corporation,main_deep_case,revenue,hybrid,"As of February 1, 2025, the liability for estimated returns was $172 million.",Text Chunk 3,,Coder 2,1,factual,text_only,1,NA,0,,high,
MAIN-C075,TGT,Target Corporation,main_deep_case,revenue,hybrid,The timing of revenue recognition for digitally originated sales presents a cut-off risk.,Text Chunk 3,,Coder 2,1,risk_assertion,text_only,0.5,NA,0,"Text supports the disclosed premise, but the audit-risk/assertion inference extends beyond the provided filing context.",medium,Partial support reflects a supported premise plus an audit inference.
MAIN-C076,TGT,Target Corporation,main_deep_case,revenue,hybrid,The estimation of expected returns introduces a risk to the accuracy and valuation of revenue and the associated return liability.,Text Chunk 3,,Coder 2,1,risk_assertion,text_only,0.5,NA,0,"Text supports the disclosed premise, but the audit-risk/assertion inference extends beyond the provided filing context.",medium,Partial support reflects a supported premise plus an audit inference.
MAIN-C077,TGT,Target Corporation,main_deep_case,revenue,hybrid,The recognition of gift card breakage revenue is subject to estimation risk.,Text Chunk 2,,Coder 2,1,risk_assertion,text_only,0.5,NA,0,"Text supports the disclosed premise, but the audit-risk/assertion inference extends beyond the provided filing context.",medium,Partial support reflects a supported premise plus an audit inference.
