ticker,company,sample_role,construct,condition,condition_label,manifest_context_word_count,actual_context_word_count,prompt_word_count,text_chunk_count,xbrl_fact_count,xbrl_path_count,text_context_words_from_log,xbrl_context_words_from_log,hybrid_text_xbrl_word_imbalance_ratio,context_file,prompt_file
NKE,"Nike, Inc.",main_deep_case,revenue,text,Text-based contextual retrieval,537,515,687,5,0,0,471,0,,data/processed/retrieval_contexts/nke_revenue_text_context.txt,data/processed/prompts/nke_revenue_text_prompt.txt
NKE,"Nike, Inc.",main_deep_case,revenue,xbrl,XBRL-based relational retrieval,624,582,754,0,12,10,0,733,,data/processed/retrieval_contexts/nke_revenue_xbrl_context.txt,data/processed/prompts/nke_revenue_xbrl_prompt.txt
NKE,"Nike, Inc.",main_deep_case,revenue,hybrid,Hybrid retrieval,748,709,881,5,12,10,471,733,1.56,data/processed/retrieval_contexts/nke_revenue_hybrid_context.txt,data/processed/prompts/nke_revenue_hybrid_prompt.txt
NKE,"Nike, Inc.",main_deep_case,revenue,llm_only,LLM-only diagnostic baseline,10,10,182,0,0,0,0,0,,data/processed/retrieval_contexts/nke_revenue_llm_only_context.txt,data/processed/prompts/nke_revenue_llm_only_prompt.txt
NKE,"Nike, Inc.",main_deep_case,inventory,text,Text-based contextual retrieval,422,394,565,5,0,0,333,0,,data/processed/retrieval_contexts/nke_inventory_text_context.txt,data/processed/prompts/nke_inventory_text_prompt.txt
NKE,"Nike, Inc.",main_deep_case,inventory,xbrl,XBRL-based relational retrieval,628,586,757,0,12,10,0,717,,data/processed/retrieval_contexts/nke_inventory_xbrl_context.txt,data/processed/prompts/nke_inventory_xbrl_prompt.txt
NKE,"Nike, Inc.",main_deep_case,inventory,hybrid,Hybrid retrieval,715,669,840,5,12,10,333,717,2.15,data/processed/retrieval_contexts/nke_inventory_hybrid_context.txt,data/processed/prompts/nke_inventory_hybrid_prompt.txt
NKE,"Nike, Inc.",main_deep_case,inventory,llm_only,LLM-only diagnostic baseline,10,10,181,0,0,0,0,0,,data/processed/retrieval_contexts/nke_inventory_llm_only_context.txt,data/processed/prompts/nke_inventory_llm_only_prompt.txt
SBUX,Starbucks Corporation,main_deep_case,revenue,text,Text-based contextual retrieval,478,450,622,5,0,0,393,0,,data/processed/retrieval_contexts/sbux_revenue_text_context.txt,data/processed/prompts/sbux_revenue_text_prompt.txt
SBUX,Starbucks Corporation,main_deep_case,revenue,xbrl,XBRL-based relational retrieval,708,666,838,0,12,10,0,820,,data/processed/retrieval_contexts/sbux_revenue_xbrl_context.txt,data/processed/prompts/sbux_revenue_xbrl_prompt.txt
SBUX,Starbucks Corporation,main_deep_case,revenue,hybrid,Hybrid retrieval,764,726,898,5,12,10,393,820,2.09,data/processed/retrieval_contexts/sbux_revenue_hybrid_context.txt,data/processed/prompts/sbux_revenue_hybrid_prompt.txt
SBUX,Starbucks Corporation,main_deep_case,revenue,llm_only,LLM-only diagnostic baseline,10,10,182,0,0,0,0,0,,data/processed/retrieval_contexts/sbux_revenue_llm_only_context.txt,data/processed/prompts/sbux_revenue_llm_only_prompt.txt
